a	и
ale	но, а, однако
ano	да
barevný	цветной
bílý	белый
být	быть
Čech	чех
čelo	forehead
červený	красный
český	Czech
chvíle	while
chytrý	clever
číslo	number
cizinci	foreigners (m)
cizinec	иностранец
cizinka	иностранка
cizinky	foreigners (f)
čtvrtek	Thursday
den	день
dnes	today
dobře	хорошо
dolní	lower
film	фильм
hnědý	коричневый
jako	как
jsem	I am
jsi	you are
jste	you all are
kamarád	friend (male)
kdo	кто
kluk	boy
kniha	книга
Kolik?	How much/many?
lékař	doctor (m)
lékařky	doctors (f)
lekce	lesson
leží	лежит
lidi	people (pl.)
mladý	молодой
muž	мужчина
nahoře	наверху
napravo	справа, вправо, направо 2
ne	нет
nebo	or
neděle	Sunday
nejsme	we are not
nos	nose
nový	новый
okno	окно
oko	eye
ošklivý	противный
pan	господин
pas	passport
pátek	Friday
peněženka	purse
peníze	money
pravý	right
příjmení	surname
příklad	example
profesorka	профессор (женщина)
prosím	пожалуйста, извините, простите
rádio	радио
restaurace	restaurant
rodina	family
rohlík	рогалик
rozumět	понимать
rozumím	я понимаю
Ruska	русская
sedí	он сидит
sedím	я сижу
slovník	словарь
sobota	Saturday
spát	to sleep
srdce	heart
starý	старый
stůl	стол
tady	здесь
taky	тоже
tam	там, туда
tělo	body
ucho	ear
učím se	я учусь (learn)
učit se	to learn
učitelky	teachers (f)
uprostřed	посередине, в центре
ústa	mouth
úterý	Tuesday
v neděli	on Sunday
v pátek	on Friday
v, ve	предлог at, 2 формы
vařit	готовить
ve středu	on Wednesday
věk	age
visí	висит
vpravo	справа, вправо, направо
vzadu	сзади
zdravý	healthy
žena	woman
židle	стул
zítra	tomorrow
