cizinci	Foreigners (m)
cizinky	Foreigners (f)
cvičení	Exercise
Jak se jmenujete?	What is your name? (formal)
je jako	is like
je mi osmnáct let	I am 18 years old.
jsem student medicíny	I am a medical student (in Hradec Kralove)
jsem z Egypta	I am Egyptian.
jseš	Are you/ you are?
jsme	We are
jsou	They are
jste	Are you all/ you all are?
Kdo?	Who?
Kdy máme přestávku?	When do we have break?
Kolik stojí jogurt?	How much does yogurt cost?
Kolik to stojí?	How much does it cost? How much is it?
Kolik?	How much/ how many?
lékař	Doctor (m)
lékaři	Doctors (m)
lékařka	Doctor (f)
lékařky	Doctors (f)
lekce	Lesson
nejsem	I am not
Nejseš?	Are you not / you are not?
nejsme	We are not
nejsou	They are not
nejste	You all are not
není	Is not
Odkud jseš?	Where are you from? (inf)
Odkud jste?	Where are you from? (formal)
Odkud?	Where from?
příjmení	Surname
čelo	forehead
chytrý	clever
cizí	foreign, strange
dolní	lower
horní	upper
koleno	knee
noha	leg, foot
nos	nose
papír	paper
peněženka	purse
příklad	example
tělo	body
tužka	pencil
ucho	ear
ústa	mouth
zdravý	healthy
odpoledne	afternoon,
rok devatenáct set osmdesát dva	rok 1982
rok dva tisíce deset	rok 2010
sto	100
sto jedna	101
v neděli	on Sunday
v pátek	on Friday
v poledne	at noon
v pondělí	on Monday
v sobotu	on Saturday
v úterý	on Tuesday
v, ve	at (what time)
ve čtvrtek	on Thursday
ve středu	on Wednesday
večer	evening, in the evening
zimní	winter (adj.)
kamarád	friend (male)
kamarádka	friend (fem.)
lidi	people (pl.)
pravda	truth
pravidelně	regularly
protože	because
restaurace	restaurant
rodina	family
rozhovor	dialogue
rozumět rozumím	to understand
sedět sedím	to sit
spát spím	to sleep
trochu	a little, a few
učit se učím se	to learn
učit učím	to teach
v restauraci	in the restaurant
vařit vařím	to cook
víkend	weekend
