aanvragen	to apply for
alweer	again (3)
anoniem	anonymous
blauw	blue
bovenstaand	above (2)
daarom	therefore
de advertentie	the advertisement
de adviseur	the advisor
de apotheker	the pharmacist
de barman	the bartender
de econoom	the economist
de foto	the photo
de functie	the job position
de geldigheid	the validity
de interesse	the interest
de kaart	the card
de metro	the subway
de minister-president	the Prime Minister
de missie	the mission
de opleiding	the education
de praktijk	the practice
de presentatie	the presentation
de presentator	the presenter/host
de reisorganisator	the travel organizer
de secretaresse	the secretary
de sollicitatiebrief	the letter of application
de tram	the tram
de trein	the train
de tuin	the garden
de tv	the TV
de vaardigheid	the skill
de vacature	the job offer, vacancy
de verhuizing	the relocation
de website	the website
de werkervaring	the work experience
de werkgever	the employer
de werkkennis	the work knowledge
de werkmogelijkheid	the job opportunity
digitaal	digital
geel	yellow
haar	her
herschrijven	to rewrite
het adres	the address
het cv	the resume
het cv-sjabloon	the resume template
het doel	the aim, goal
het huiswerk	the homework
het kaartnummer	the card number
het kind	the child
het openbaar vervoer	the public transport
het rapport	the report
het rijbewijs	the driver's license
het salaris	the salary
het vervoer	the transport
het voordeel	the advantage
hun	their
inchecken	to check in, to register
instappen	to get in
invullen	to fill in
jouw	your (sing. informal)
jullie	your (pl. informal)
lopend te voet	to walk by foot
mijn	my
naast	next to
openstaand	open, available (adj.)
opladen	to load, to charge
opnemen de telefoon	to answer the phone
productief	productive
regelen	to arrange, to manage
solliciteren	to apply for a job
Turks	Turkish
tweehonderdeenenveertig	241
tweehonderdnegenendertig	239
tweehonderdveertig	240
uitchecken	to check out
uitstappen	to get off
uw	your (sing./pl. formal)
verantwoordelijk	responsible
verzinnen	to make up
de vrachtwagenchauffeur	the truck driver
wachten	to wait
zijn	his
zonder	without
