Chinees	Counter({'Chinese': 1})
Duits	Counter({'German': 1})
Duitsland	Counter({'Germany': 1})
Engels	Counter({'English': 2})
Frans	Counter({'French': 1})
Hoe laat is het?	Counter({'What time is it?': 1})
Hoe laat?	Counter({'What time?': 1})
Hoe lang?	Counter({'How long? (about length)': 1})
Ik ken het Nederlandse alfabet uit mijn hoofd	Counter({'I know the Dutch alphabet by heart': 1})
Ik spreek alleen in het Engels	Counter({'Я говорю только по английски': 1})
Ik weet hoe je het Nederlandse alfabet moet opzeggen	Counter({'I know how to say the Dutch alphabet out loud': 1})
Italiaans	Counter({'Italian': 1})
Italië	Counter({'Italy': 1})
Kerstmis	Counter({'Christmas': 1})
Koningsdag	Counter({'King’s Day': 1})
Lekker weer, hè?	Counter({'Nice weather, isn’t it?': 1})
Mexico	Counter({'Mexico': 1})
Nederland	Counter({'The Netherlands': 1})
Nederlanders	Counter({'Dutch people': 1})
Nederlands	Counter({'Dutch': 1})
Netflixen	Counter({'to watch Netflix': 1})
Nieuwjaar	Counter({'New year': 1})
Oudjaar	Counter({'New year’s eve': 1})
Pasen	Counter({'Easter': 1})
Polen	Counter({'Poland': 1})
Spaanse	Counter({'Spanish': 1})
Turkije	Counter({'Turkey': 1})
Waar ben je?	Counter({'Where Are You?': 1})
Waarom lach je?	Counter({'Why Are You Laughing?': 1})
Wanneer ben je geboren?	Counter({'When Were You Born?': 1})
Wat doen we vanavond?	Counter({'What Are We Doing Tonight?': 1})
Wat voor weer wordt het?	Counter({'What will be the weather?': 1})
Welke dag van de week?	Counter({'Which day of the week?': 1})
Wie is daar?	Counter({'Who is There?': 1})
Zwarte Piet	Counter({'Black Pete': 1})
aan de linkerkant	Counter({'on the left side': 1})
aan de rechterkant	Counter({'on the right side': 1})
aanbieden	Counter({'to offer': 1})
aangenaam	Counter({'приятно познакомиться': 1, 'nice to meet you (short)': 1})
aannemen	Counter({'to hire (staff)': 1, 'to receive what offered, to accept': 1})
aanwezig	Counter({'present (adj.)': 1})
aardig	Counter({'nice / kind (about human)': 1, 'kind, nice, friendly': 1})
absoluut	Counter({'absolute': 1})
acht	Counter({'eight': 1})
achter	Counter({'behind': 2})
achtergelaten	Counter({'abandoned': 1})
achterlaten	Counter({'to leave smth/smb in the other place': 1})
achtste	Counter({'eighth': 1})
achttiende	Counter({'eighteenth': 1})
actief	Counter({'active': 1})
af	Counter({'off': 1})
afgelopen	Counter({'last (2)': 1})
afkoelen	Counter({'to cool': 1})
afsluiten	Counter({'to lock': 1})
afspreken	Counter({'to make an appointment': 1})
afwassen	Counter({'to do the dishes': 1})
al	Counter({'already': 2, 'already, yet': 1})
algemeen	Counter({'general': 1})
allebei	Counter({'both (2)': 1})
alleen	Counter({'only / alone / lonely': 1, 'only, alone': 1, 'alone': 1})
allemaal	Counter({'everyone (2)': 1, 'all': 1})
allerlei	Counter({'all kinds of': 1})
alles	Counter({'everything': 3})
als	Counter({'if': 2})
alsjeblieft	Counter({'пожалуйста': 1, 'please': 1})
alsof	Counter({'as if': 1})
altijd	Counter({'always': 3})
alweer	Counter({'again (3)': 1})
ander	Counter({'other': 1})
anders	Counter({'different': 1})
antwoorden	Counter({'to answer / to reply': 1})
april	Counter({'April': 2})
arm	Counter({'poor': 1})
augustus	Counter({'August': 2})
automatische	Counter({'automatic': 1})
bakken	Counter({'to bake': 1})
bang	Counter({'afraid': 1, 'afraid, scared': 1})
beantwoorden	Counter({'to answer (to smth., e.g. jouw vraag)': 1})
bedankt	Counter({'спасибо': 1, 'thanks': 1})
bedenken	Counter({'to think up': 1})
bedoelen	Counter({'to mean': 2})
bedragen	Counter({'to amount to': 1})
beetje	Counter({'little / few': 1})
beginnen	Counter({'to begin': 1, 'to begin / to start': 1, 'to begin, to start': 1})
begrijpen	Counter({'to understand': 3})
behalve	Counter({'except': 1, 'except (for)': 1})
behoorlijk	Counter({'proper, decent': 1})
behulpzaam	Counter({'helpful': 1})
beide	Counter({'both': 2})
bekend	Counter({'well-known': 1})
bekijken	Counter({'to look at': 2})
beklimmen	Counter({'to climb': 1})
belangrijk	Counter({'important': 3})
bellen	Counter({'to call': 2})
beloofd	Counter({'promised': 1})
beloven	Counter({'to promise': 1})
beneden	Counter({'down, downstairs': 1})
bepaald	Counter({'certain': 2})
bepalen	Counter({'to determine': 1})
bereiken	Counter({'to reach': 1})
beroemd	Counter({'famous': 2})
beroven	Counter({'to rob': 1})
beschikbaar	Counter({'available': 1})
beschouwen	Counter({'to regard': 1})
beschrijven	Counter({'to describe': 1})
beseffen	Counter({'to realize': 1})
beslissen	Counter({'to decide': 3})
besluiten	Counter({'to decide (2)': 1})
bespreken	Counter({'discuss': 1})
best	Counter({'best': 2})
bestaan	Counter({'to exist': 2})
bestellen	Counter({'to order': 1})
betalen	Counter({'to pay': 2})
betekenen	Counter({'to mean': 1, 'to mean (2)': 1})
beter	Counter({'better': 3})
betreffen	Counter({'to concern': 1})
betrekken	Counter({'to involve': 1})
bevriend zijn	Counter({'to be friends': 1})
bewegen	Counter({'to move': 3})
bewijzen	Counter({'to prove': 1})
bewolkt	Counter({'cloudy': 1})
bewust	Counter({'conscious, aware': 1})
bezig	Counter({'busy': 1})
bezoeken	Counter({'to visit': 2})
bidden	Counter({'to pray': 1})
bij	Counter({'at, near': 1, 'at, next to, near': 1})
bijles geven	Counter({'to tutor': 1})
bijna	Counter({'almost': 3})
bijten	Counter({'to bite': 1})
bijvoorbeeld	Counter({'for example': 2})
bijzonder	Counter({'special, unusual': 1, 'unusual, special': 1})
binnen	Counter({'inside': 2, 'within': 1})
bitter	Counter({'bitter': 1})
blauw	Counter({'blue': 2})
blij	Counter({'happy (short term)': 2, 'glad / happy': 1, 'happy': 1})
blijkbaar	Counter({'apparently': 1})
blijken	Counter({'to prove': 1})
blijven	Counter({'to stay': 1, 'to stay / to remain': 1, 'to stay, to remain': 1})
boos	Counter({'angry': 1})
borrelen	Counter({'to have a drink': 1})
bouwen	Counter({'to build': 2})
boven	Counter({'above, up, upstairs': 1, 'above': 1})
bovendien	Counter({'also (2)': 1})
bowlen	Counter({'to bowl': 1})
breed	Counter({'wide': 1})
breken	Counter({'to break': 1})
brengen	Counter({'to bring': 1, 'to take, to bring': 1})
bruin	Counter({'brown': 2})
bruto	Counter({'gross': 1})
buiten	Counter({'outside': 1})
chagrijnig	Counter({'grumpy': 1, 'grumpy (1)': 1})
chaotisch	Counter({'chaotic': 1})
compleet	Counter({'complete': 1})
contant betalen	Counter({'to pay cash': 1})
controleren	Counter({'to check': 1})
creatief	Counter({'creative': 1})
daar	Counter({'there': 2})
daarbij	Counter({'with it (2), besides': 1})
daardoor	Counter({'thereby, thus': 1})
daarin	Counter({'therein': 1})
daarmee	Counter({'with it (1)': 1})
daarna	Counter({'afterwards': 2})
daarom	Counter({'that’s why': 1})
daarop	Counter({'thereon': 1})
daarvan	Counter({'thereof, from that': 1})
daarvoor	Counter({'before that (adv.)': 1})
dagelijks	Counter({'daily': 1})
dan	Counter({'then': 1, 'then, than': 1})
dank je wel	Counter({'thank you (informal)': 1})
danken	Counter({'to thank, to owe': 1})
dankjewel	Counter({'thank you': 1})
dansen	Counter({'to dance': 2})
dapper	Counter({'brave': 1})
dat	Counter({'that': 1})
dat klopt	Counter({"that's right": 1})
de Verenigde Staten	Counter({'the United States': 1})
de aandacht	Counter({'the attention': 1})
de aanleiding	Counter({'the reason, occasion': 1})
