nula	0
jeden	1
dva	2
tři	3
čtyři 	4
pět	5
šest	6
sedm	7
osm	8
devět	9
deset	10
jedenáct	11
čtyřicet	40
devadesát	90
dva tisíce	2000
věk	age
ale	but
dítě	child
český	Czech
anglicky	English
pátek	Friday
holka	girl
dobře	good (excellent)
ruka	hand, arm
srdce	heart
jsem	I am
je	is (это)
levý	left
muž	man
peníze	money
ráno	morning
jméno	name
hezký	nice, good-looking
poledne	noon
číslo	number
nebo	or
pas	passport
opakujte	repeat
sobota	Saturday
malý	small, little
neděle	Sunday
stůl	table, desk
učitelka	teacher (f)
učitel	teacher (m)
čtvrtek	Thursday
dnes	today
zítra	tomorrow
přeložte	translate
kdy	when
žena	woman
rok	year
